model,category,product_url,image_url,filename,status,error,image_source,perspective,source_mime
SRCse 801,lab-refrigerators,https://www.liebherr.com/de-at/p/srcse-801-2224792,https://assets-cdn.liebherr.com/versions/1bf8c193-345f-445f-93d7-82fd18116e37/web/SRCse%20801.jpg,lab-refrigerators/SRCse_801.jpg,downloaded,,next_data_product_image_web,straight_open_empty,JPG
SRFfg 3501,lab-refrigerators,https://www.liebherr.com/de-at/p/srffg-3501-2224792,https://assets-cdn.liebherr.com/versions/00ab95ab-eb3f-4d44-a85a-6df53adc2057/web/SRFfg%203501.jpg,lab-refrigerators/SRFfg_3501.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRFfg 4001,lab-refrigerators,https://www.liebherr.com/de-at/p/srffg-4001-2224792,https://assets-cdn.liebherr.com/versions/01a0679e-725a-731d-bd80-51daa28d81eb/web/SRFfg%204001.jpg,lab-refrigerators/SRFfg_4001.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRFfg 5501,lab-refrigerators,https://www.liebherr.com/de-at/p/srffg-5501-2224792,https://assets-cdn.liebherr.com/versions/5fa949ac-81fc-4da5-81c6-aaa22908bd94/web/SRFfg%205501.jpg,lab-refrigerators/SRFfg_5501.jpg,downloaded,,next_data_product_image_web,straight_open_empty,JPG
SRFvg 3501,lab-refrigerators,https://www.liebherr.com/de-at/p/srfvg-3501-2224792,https://assets-cdn.liebherr.com/versions/362f1b99-3fc0-49cc-b519-96c338707f96/web/SRFvg%203501.jpg,lab-refrigerators/SRFvg_3501.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRFvg 3511,lab-refrigerators,https://www.liebherr.com/de-at/p/srfvg-3511-2224792,https://assets-cdn.liebherr.com/versions/01a0679e-cadf-79aa-a850-2e89fee97e92/web/SRFvg%203511.jpg,lab-refrigerators/SRFvg_3511.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRFvg 4001,lab-refrigerators,https://www.liebherr.com/de-at/p/srfvg-4001-2224792,https://assets-cdn.liebherr.com/versions/adcb497b-c6f9-4240-bbee-c3e60418dd9a/web/SRFvg%204001.jpg,lab-refrigerators/SRFvg_4001.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRFvg 4011,lab-refrigerators,https://www.liebherr.com/de-at/p/srfvg-4011-2224792,https://assets-cdn.liebherr.com/versions/01a0679f-1465-7d11-bf84-782a8d32e054/web/SRFvg%204011.jpg,lab-refrigerators/SRFvg_4011.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRFvg 5501,lab-refrigerators,https://www.liebherr.com/de-at/p/srfvg-5501-2224792,https://assets-cdn.liebherr.com/versions/6e932e69-ff67-4a78-8d87-1d76c0df0883/web/SRFvg%205501.jpg,lab-refrigerators/SRFvg_5501.jpg,downloaded,,next_data_product_image_web,straight_open_empty,JPG
SRFvg 5511,lab-refrigerators,https://www.liebherr.com/de-at/p/srfvg-5511-2224792,https://assets-cdn.liebherr.com/versions/01a0679f-480a-7863-86f0-9c25ca3250bb/web/SRFvg%205511.jpg,lab-refrigerators/SRFvg_5511.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRFvh 4001,lab-refrigerators,https://www.liebherr.com/de-at/p/srfvh-4001-2224792,https://assets-cdn.liebherr.com/versions/7c412202-949e-41db-9086-f88ab033686e/web/SRFvh%204001.jpg,lab-refrigerators/SRFvh_4001.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRFvh 4011,lab-refrigerators,https://www.liebherr.com/de-at/p/srfvh-4011-2224792,https://assets-cdn.liebherr.com/versions/3def7e6f-ba3b-422b-99f8-d2c6113c9b2d/web/SRFvh%204011.jpg,lab-refrigerators/SRFvh_4011.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRFvh 5501,lab-refrigerators,https://www.liebherr.com/de-at/p/srfvh-5501-2224792,https://assets-cdn.liebherr.com/versions/d8c8ba35-dc11-450d-938f-a0b0e84e9e4d/web/SRFvh%205501.jpg,lab-refrigerators/SRFvh_5501.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRFvh 5511,lab-refrigerators,https://www.liebherr.com/de-at/p/srfvh-5511-2224792,https://assets-cdn.liebherr.com/versions/db21cab2-3c78-4e8c-a044-d5500c7754b5/web/SRFvh%205511.jpg,lab-refrigerators/SRFvh_5511.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvg 1402,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvg-1402-2224792,https://assets-cdn.liebherr.com/versions/8d3079f5-e28b-4da2-b168-d12d867e798a/web/SRPvg%201402.jpg,lab-refrigerators/SRPvg_1402.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvg 1412,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvg-1412-2224792,https://assets-cdn.liebherr.com/versions/e7203dad-d810-4e9f-8d1d-4a36bffff8fd/web/SRPvg%201412.jpg,lab-refrigerators/SRPvg_1412.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvg 6501,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvg-6501-2224792,https://assets-cdn.liebherr.com/versions/f60470cc-cb74-464f-bae0-9e06f43350c4/web/SRPvg%206501.jpg,lab-refrigerators/SRPvg_6501.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvg 6511,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvg-6511-2224792,https://assets-cdn.liebherr.com/versions/a682611d-9e95-4bac-b632-50592862ce4a/web/SRPvg%206511.jpg,lab-refrigerators/SRPvg_6511.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvg 8401,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvg-8401-2224792,https://assets-cdn.liebherr.com/versions/43afd694-aaf3-4b22-aa62-dc28211709ed/web/SRPvg%208401.jpg,lab-refrigerators/SRPvg_8401.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvg 8411,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvg-8411-2224792,https://assets-cdn.liebherr.com/versions/41ddf9ad-62a4-4629-8ee7-a2497066a8ab/web/SRPvg%208411.jpg,lab-refrigerators/SRPvg_8411.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvh 1402,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvh-1402-2224792,https://assets-cdn.liebherr.com/versions/bf8c0948-5ed8-42a1-aef0-6232f799341e/web/SRPvh%201402.jpg,lab-refrigerators/SRPvh_1402.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvh 1412,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvh-1412-2224792,https://assets-cdn.liebherr.com/versions/ab09ac45-fd3f-4322-b877-a988e96b7e21/web/SRPvh%201412.jpg,lab-refrigerators/SRPvh_1412.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvh 6501,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvh-6501-2224792,https://assets-cdn.liebherr.com/versions/a3b2b9ac-cd0c-4095-ba17-042d5b432b21/web/SRPvh%206501.jpg,lab-refrigerators/SRPvh_6501.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvh 6511,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvh-6511-2224792,https://assets-cdn.liebherr.com/versions/686584d8-84d2-4c14-b153-c11c9f382ce4/web/SRPvh%206511.jpg,lab-refrigerators/SRPvh_6511.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvh 8401,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvh-8401-2224792,https://assets-cdn.liebherr.com/versions/978628ac-4712-4720-bab0-b1d15e62056b/web/SRPvh%208401.jpg,lab-refrigerators/SRPvh_8401.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRPvh 8411,lab-refrigerators,https://www.liebherr.com/de-at/p/srpvh-8411-2224792,https://assets-cdn.liebherr.com/versions/0bddc31d-af38-40b2-9f10-0c68f3503dc6/web/SRPvh%208411.jpg,lab-refrigerators/SRPvh_8411.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRTfg 1501,lab-refrigerators,https://www.liebherr.com/de-at/p/srtfg-1501-2224792,https://assets-cdn.liebherr.com/versions/5e156df6-ee6f-429a-a40a-614646a57ab9/web/SRTfg%201501.jpg,lab-refrigerators/SRTfg_1501.jpg,downloaded,,next_data_product_image_web,straight_open_empty,JPG
SRTvg 1501,lab-refrigerators,https://www.liebherr.com/de-at/p/srtvg-1501-2224792,https://assets-cdn.liebherr.com/versions/8d84767d-074b-4954-a981-e6b051d913ce/web/SRTvg%201501.jpg,lab-refrigerators/SRTvg_1501.jpg,downloaded,,next_data_product_image_web,straight_open_empty,JPG
SRTvg 1511,lab-refrigerators,https://www.liebherr.com/de-at/p/srtvg-1511-2224792,https://assets-cdn.liebherr.com/versions/13191deb-4de1-44d5-8249-5a8f0408245c/web/SRTvg%201511.jpg,lab-refrigerators/SRTvg_1511.jpg,downloaded,,next_data_product_image_web,straight_closed_empty,JPG
SRTvh 1501,lab-refrigerators,https://www.liebherr.com/de-at/p/srtvh-1501-2224792,https://assets-cdn.liebherr.com/versions/e6e5b3f2-ab0d-4355-a13b-a7c6bd9a71c2/web/SRTvh%201501.jpg,lab-refrigerators/SRTvh_1501.jpg,downloaded,,next_data_product_image_web,straight_open_empty,JPG
